Victor	1	4/30/1925	Buenos Aires, Argentina [unconfirmed]	BA-591	79553	Volverás / Orquesta Típica de Caro
Victor	1	9/2/1925	Buenos Aires, Argentina [unconfirmed]	BA-652	79584	Sobre el pucho / Orquesta Típica de Caro
Victor	2	9/4/1925	Buenos Aires, Argentina [unconfirmed]	BA-655	79586	Cruel mujer / Oscar Rorra
Victor	1	4/13/1925	Buenos Aires, Argentina [unconfirmed]	BA-577	79546	Estro / Mendocita ; Rosita Quiroga
Columbia	1	8/31/1923		89384	22000-F	Södergrabbarnas hambo / Einar Holt ; Henry Magnuson
Columbia	2	7/1/1924		105048	22008-F	Avestaforsens brus / Einar Holt
Edison	B	5/2/1921		7955	50858	Bonnie Maggie Tamson / Glen Ellison
Edison	B	1/25/1922		8347	50911	Lalawana lullaby / Imperial Marimba Band
Edison	C	10/3/1914	New York, New York	3327	80183	O come, all ye faithful / Metropolitan Quartet
Edison	C	5/29/1917	New York, New York	5591	82133	Battle hymn of the Republic / Thomas Chalmers
Edison	C	8/12/1918	New York, New York	6309	82149	Keep the home fires burning / Homestead Trio
Edison	A	8/29/1913	New York, New York	2434	50117	In the swing [Balancelle] / Reed Orchestra [Edison Records]
Edison	C	3/31/1914	New York, New York	2852	50146	Adele / National Promenade Band
Edison	C	3/14/1916	New York, New York	4582	50358	National emblem march / New York Military Band
Edison	A	9/1/1916	New York, New York	4965	50406	My sweet sweeting waltz / Louise and Ferera
Edison	C	5/10/1917	New York, New York	5553	50470	Johnson "jass" blues / Frisco "Jass" Band
Edison	C	6/21/1917	New York, New York	5638	50462	Light as a feather / John F. Burckhardt
Edison	H	1/31/1913	New York, New York	1235	80048	Blue Danube waltz [An der schönen, blauen Donau; arranged] / American Symphony Orchestra
Edison	C	3/19/1913	New York, New York	2188	80113	Come back to Erin / Metropolitan Quartet
Edison	A	3/4/1915	New York, New York	3624	80266	Die heilige Nacht / Manhattan Quartet
Edison	C	4/3/1917	New York, New York	5487	80431	Blest be the tie that binds / Metropolitan Quartet
Edison	C	3/24/1919	New York, New York	6683	80471	The twenty-third psalm / Calvary Choir ; Rev. William H. Morgan
Edison	B	1/31/1917	New York, New York	5333	80523	Old Hungarian melody / Armand Vecsey Hungarian Orchestra
Edison	C	11/21/1920	New York, New York	7646	80621	Irish rose o' my heart / Allen McQuhae
Columbia	2	7/13/1927	New York, New York	W144369	1086-D	The rosary / Jack Little
Columbia	3	7/18/1927	New York, New York	W144465	1089-D	Havana / Franklyn Baur ; Cass Hagan ; Park Central Hotel Orchestra
Columbia	3	7/15/1927	New York, New York	W144374	1092-D	Magnolia / Van and Schenck
Columbia	3	7/29/1927	New York, New York	W144526	1096-D	Sweet someone / Billy Day
Columbia	3	8/26/1927	New York, New York	W144572	1108-D	Good news. Good news / Franklyn Baur ; Fred Rich Hotel Astor Orchestra ; Frank Luther ; Elliott Shaw
Columbia	1	8/30/1927	New York, New York	W144593	1113-D	Follies of 1927. It all belongs to me / Ruth Etting
Columbia	2	6/17/1927	Chicago, Illinois	W144347	1107-D	You went away too far (And stayed away too long) / Bessie Coldiron
Columbia	3	9/9/1927	New York, New York	W144653	1119-D	Charmaine! / Franklyn Baur
Columbia	2	8/2/1927	New York, New York	W144530	1122-D	Who's wonderful, who's marvelous? Miss Annabelle Lee / Jack Little
Columbia	3	9/6/1927	New York, New York	W144630	1124-D	Highways are happy ways (When they lead the way to home) / Don Voorhees Orchestra ; Vincent Van Tuyl
Columbia	3	9/9/1927	New York, New York	W144651	1129-D	My blue heaven / Don Voorhees Orchestra ; Lewis James
Columbia	3	9/23/1927	New York, New York	W144793	1133-D	Sidewalks of New York. Playground in the sky / Franklyn Baur ; Ben Selvin and his Orchestra ; Lewis James
Columbia	2	9/21/1927	New York, New York	W144778	1139-D	The sweetheart of Sigma Chi / Charles Kaley
Columbia	2	9/23/1927	Spokane, Washington	W144707	1144-D	Who knows? / Elks Quartet of Spokane Lodge 228
Columbia	1	3/7/1927	Los Angeles, California	W143432	1155-D	St. Louis blues / Sol Hoopii's Novelty Trio
Columbia	6	10/17/1927	New York, New York	W144838	1161-D	Beneath Venetian skies / Hurtado Brothers Marimba Orchestra ; John Valentine
Columbia	3	9/30/1927	Seattle, Washington	W144723	1166-D	Honolulu blues / Cole McElroy's Spanish Ball Room Band
Columbia	3	9/24/1927	Spokane, Washington	W144709	1171-D	I'm afraid you sing that song to somebody else / Garden Dancing Palace Orchestra
Columbia	3	9/27/1927	New York, New York	W144799	1180-D	Where is my Meyer? : Where's Himalaya?. / Eddie Thomas’ Collegians [Columbians] ; Frank Harris
Columbia	3	10/29/1927	New York, New York	W144929	1184-D	Rose of the lane / Columbians ; Elliott Shaw
Columbia	3	12/6/1927	New York, New York	W145277	1226-D	Take the air. Maybe I'll baby you / Max Fisher California Orchestra
Columbia	3	9/22/1927	New York, New York	W144787	1228-D	Sweetheart memories / Kitty O'Connor
Columbia	3	12/9/1927	New York, New York	W145291	1235-D	Is she my girl-friend? : How-de-ow-dow!. / Max Fisher California Orchestra
Columbia	4	12/14/1927	New York, New York	W145408	1238-D	Dear, on a night like this / James Melton
Columbia	2	12/16/1927	New York, New York	W145421	1242-D	Away down South in heaven / Ted Lewis and his Band
Columbia	3	12/22/1927	New York, New York	W145383	1245-D	I love to catch brass rings on a merry-go-round / The Happiness Boys
Columbia	2	8/25/1927	New York, New York	W144564	1249-D	Tropical hulas / South Sea Islanders
Columbia	2	12/14/1927	Memphis, Tennessee	W145381	1255-D	Four walls / Kenny Sargent
Columbia	2	10/24/1927	New Orleans, Louisiana	W145011	1263-D	I want somebody to love / Albert Brunies ; Halfway House Dance Orchestra
Columbia	2	6/17/1927	Chicago, Illinois	W144346	1269-D	Real estate pa-pa : You ain't gonna sub-divide me. / Bessie Coldiron
Columbia	7	1/24/1928	New York, New York	W145530	1293-D	Take the air. We'll have a new home (In the mornin') / Kitty O'Connor
Columbia	3	12/14/1927	New York, New York	W145405	1286-D	Who knows? / Oscar Grogan
Columbia	3	1/10/1928	New York, New York	W145499	1282-D	So tired / Art Gillham
Columbia	3	7/25/1927	New York, New York	W144499	1278-D	Blue baby (Why are you blue) / Harold Leonard and his Orchestra ; Frank Harris
Columbia	3	12/9/1927	New York, New York	W145292	1276-D	Keep sweeping the cobwebs off the moon / Lee Morse and her Southern Serenaders
Columbia	3	1/27/1928	New York, New York	W145574	1301-D	My Ohio home / Cass Hagan ; Frank Harris ; Park Central Hotel Orchestra
Columbia	2	3/2/1928	New York, New York	W145714	1327-D	Little mother / Lewis James ; Elliott Shaw
Columbia	2	3/1/1928	New York, New York	W145702	1323-D	Watching for the boogie man / Vaughn De Leath
Columbia	3	2/14/1928	New York, New York	W145641	1304-D	Show boat. Can't help lovin' dat man / Aunt Jemima
Columbia	2	12/7/1927	New York, New York	W145282	1302-D	Away down South in heaven / Van and Schenck
Columbia	2	11/14/1927	New York, New York	W144977	1340-D	The book on etiquette / Mona Motor Oil Twins
Columbia	3	3/2/1928	New York, New York	W145715	1330-D	(When you come to the end and need one true friend) send for me / Oscar Grogan
Columbia	2	10/2/1928	New York, New York	W147092	1595-D	My blackbirds are bluebirds now / Ruth Etting
Columbia	1	6/1/1928	Honolulu, Hawaii	W146727	1664-D	That's what the lei said to me / Bina Mossman's Glee Club ; Honolulu Serenaders
Columbia	3	1/14/1929	New York, New York	W147780	1707-D	Hold everything!. To know you is to love you / Ruth Etting
